Year,CIRI Country ID,Country,UN Country ID,UN Region,UN Subregion,Physical Integrity Rights Index,Disappearance,Extrajudicial Killing,Political Imprisonment,Torture,Empowerment Rights Index (Old),Empowerment Rights Index (New),Freedom of Assembly and Association,Freedom of Foreign Movement,Freedom of Domestic Movement,Freedom of Movement (Old),Freedom of Speech,Electoral Self-Determination,Freedom of Religion (Old),Freedom of Religion (New),Employment Rights,Women’s Economic Rights,Women’s Political Rights,Women’s Social Rights,Independence of Judiciary
1981,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0
1982,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0
1983,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1984,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
1985,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1986,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
1987,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,1,3,0,0,0,0,0,1,0,2,0,0,1,0,0
1988,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,1,0,0
1989,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,2,3,0,1,0,0,0,0,1,2,0,0,1,0,0
1990,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0
1991,101,Afghanistan,4,Asia,Southcentral Asia,1,0,0,0,1,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0
1992,101,Afghanistan,4,Asia,Southcentral Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1993,101,Afghanistan,4,Asia,Southcentral Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1994,101,Afghanistan,4,Asia,Southcentral Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1995,101,Afghanistan,4,Asia,Southcentral Asia,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1996,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,3,3,0,1,1,1,1,0,0,0,0,0,0,0,0
1997,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0
1998,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0
2000,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,101,Afghanistan,4,Asia,Southcentral Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,101,Afghanistan,4,Asia,Southcentral Asia,3,1,1,0,1,4,2,0,0,0,1,1,1,0,0,0,0,0,0,0
2003,101,Afghanistan,4,Asia,Southcentral Asia,,-66,-66,-66,-66,,,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
2004,101,Afghanistan,4,Asia,Southcentral Asia,,-66,-66,-66,-66,,,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66,-66
2005,101,Afghanistan,4,Asia,Southcentral Asia,4,2,1,1,0,1,2,1,0,0,0,0,1,0,0,0,0,2,,0
2006,101,Afghanistan,4,Asia,Southcentral Asia,4,2,1,1,0,1,3,1,1,0,0,0,1,0,0,0,0,2,,0
2007,101,Afghanistan,4,Asia,Southcentral Asia,4,2,1,1,0,,4,1,1,1,,0,1,,0,0,0,3,1,0
2008,101,Afghanistan,4,Asia,Southcentral Asia,3,2,0,1,0,,3,1,1,1,,0,0,,0,0,0,2,,0
2009,101,Afghanistan,4,Asia,Southcentral Asia,4,2,1,1,0,,1,0,0,0,,0,1,,0,0,0,2,,0
2010,101,Afghanistan,4,Asia,Southcentral Asia,3,2,0,1,0,,2,1,0,0,,0,1,,0,0,0,2,,0
2011,101,Afghanistan,4,Asia,Southcentral Asia,4,2,0,2,0,,4,1,0,0,,1,1,,0,1,0,2,,0
1981,104,Albania,8,Europe,Southern Europe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1982,104,Albania,8,Europe,Southern Europe,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1983,104,Albania,8,Europe,Southern Europe,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1984,104,Albania,8,Europe,Southern Europe,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2,1,0
1985,104,Albania,8,Europe,Southern Europe,,2,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1986,104,Albania,8,Europe,Southern Europe,,2,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1987,104,Albania,8,Europe,Southern Europe,,2,-999,0,1,1,1,0,0,0,0,1,0,0,0,0,1,2,1,0
1988,104,Albania,8,Europe,Southern Europe,,2,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1989,104,Albania,8,Europe,Southern Europe,,2,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1990,104,Albania,8,Europe,Southern Europe,3,2,1,0,0,2,2,0,0,0,0,1,1,0,0,0,1,2,1,1
1991,104,Albania,8,Europe,Southern Europe,4,2,1,0,1,8,10,0,2,2,1,1,1,1,2,2,1,1,-999,2
1992,104,Albania,8,Europe,Southern Europe,6,2,2,1,1,7,9,1,2,2,1,1,1,1,1,1,1,2,1,1
1993,104,Albania,8,Europe,Southern Europe,6,2,2,1,1,7,8,0,2,2,1,1,1,1,1,1,1,2,1,1
1994,104,Albania,8,Europe,Southern Europe,7,2,2,2,1,9,12,1,2,2,1,1,2,1,2,2,1,2,-999,2
1995,104,Albania,8,Europe,Southern Europe,4,2,0,1,1,9,11,1,2,2,1,1,2,1,1,2,1,2,1,1
1996,104,Albania,8,Europe,Southern Europe,4,2,1,1,0,7,9,1,2,2,1,1,0,1,1,2,1,2,1,1
1997,104,Albania,8,Europe,Southern Europe,4,2,1,1,0,8,10,1,2,2,1,1,1,1,1,2,1,2,1,1
1998,104,Albania,8,Europe,Southern Europe,5,2,1,1,1,8,12,2,2,2,1,1,2,1,2,1,1,2,1,1
1999,104,Albania,8,Europe,Southern Europe,5,2,1,2,0,9,12,2,2,1,1,1,2,1,2,2,1,2,1,1
2000,104,Albania,8,Europe,Southern Europe,3,2,1,0,0,7,9,1,2,2,1,1,1,1,1,1,1,2,1,1
2001,104,Albania,8,Europe,Southern Europe,6,2,2,2,0,9,11,2,2,1,1,1,2,1,1,2,1,2,1,1
2002,104,Albania,8,Europe,Southern Europe,6,2,2,2,0,8,12,2,2,2,1,1,2,1,2,1,1,2,1,1
2003,104,Albania,8,Europe,Southern Europe,5,2,1,2,0,8,10,1,2,2,1,1,2,1,1,1,2,2,-999,1
2004,104,Albania,8,Europe,Southern Europe,6,2,1,2,1,8,11,1,2,2,1,1,2,1,2,1,1,2,2,1
2005,104,Albania,8,Europe,Southern Europe,7,2,2,2,1,7,10,2,2,2,1,1,1,1,1,1,1,2,,1
2006,104,Albania,8,Europe,Southern Europe,6,2,2,2,0,7,11,2,2,2,1,1,1,1,2,1,1,2,,0
2007,104,Albania,8,Europe,Southern Europe,7,2,2,2,1,,10,2,1,2,,1,1,,2,1,2,2,1,0
2008,104,Albania,8,Europe,Southern Europe,7,2,2,2,1,,12,2,2,2,,2,1,,2,1,0,2,,0
2009,104,Albania,8,Europe,Southern Europe,7,2,2,2,1,,11,2,2,2,,1,1,,2,1,1,2,,0
2010,104,Albania,8,Europe,Southern Europe,7,2,2,2,1,,11,2,2,2,,1,1,,2,1,1,2,,0
2011,104,Albania,8,Europe,Southern Europe,6,2,1,2,1,,9,2,1,2,,1,1,,1,1,1,2,,0
1981,107,Algeria,12,Africa,Northern Africa,7,2,1,2,2,6,6,0,1,1,1,1,1,1,2,0,1,1,0,1
1982,107,Algeria,12,Africa,Northern Africa,8,2,2,2,2,4,4,0,1,1,1,0,0,1,2,0,-999,1,-999,2
1983,107,Algeria,12,Africa,Northern Africa,7,2,2,2,1,4,4,0,1,1,1,0,0,1,2,0,-999,1,1,2
1984,107,Algeria,12,Africa,Northern Africa,5,2,1,1,1,5,4,0,1,1,1,0,1,1,1,0,1,1,0,1
1985,107,Algeria,12,Africa,Northern Africa,7,2,2,1,2,4,2,0,1,1,1,0,0,1,0,0,1,1,1,2
1986,107,Algeria,12,Africa,Northern Africa,6,2,2,1,1,2,3,0,1,1,1,0,0,0,1,0,1,1,1,2
1987,107,Algeria,12,Africa,Northern Africa,5,2,1,1,1,3,5,0,1,1,1,0,1,0,2,0,1,1,0,1
1988,107,Algeria,12,Africa,Northern Africa,4,2,2,0,0,4,3,0,1,1,1,0,0,1,1,0,1,1,0,2
1989,107,Algeria,12,Africa,Northern Africa,5,2,2,1,0,6,6,0,1,2,1,1,0,1,1,1,-999,1,0,2
1990,107,Algeria,12,Africa,Northern Africa,5,2,1,1,1,6,6,0,1,2,1,1,1,1,1,0,1,1,0,1
1991,107,Algeria,12,Africa,Northern Africa,4,1,2,0,1,4,4,0,1,1,1,1,0,0,0,1,1,1,0,1
1992,107,Algeria,12,Africa,Northern Africa,2,2,0,0,0,3,3,0,1,1,1,0,0,0,0,1,1,2,0,1
1993,107,Algeria,12,Africa,Northern Africa,2,2,0,0,0,4,6,1,1,1,1,0,1,0,1,1,1,1,0,1
1994,107,Algeria,12,Africa,Northern Africa,2,2,0,0,0,3,4,1,1,1,1,0,0,0,0,1,1,2,0,1
1995,107,Algeria,12,Africa,Northern Africa,0,0,0,0,0,2,3,0,1,1,1,0,0,0,1,0,1,2,0,1
1996,107,Algeria,12,Africa,Northern Africa,3,1,1,1,0,7,6,1,1,1,1,1,1,1,0,1,1,2,0,1
1997,107,Algeria,12,Africa,Northern Africa,0,0,0,0,0,4,6,1,1,1,0,1,0,1,1,1,1,2,0,1
1998,107,Algeria,12,Africa,Northern Africa,4,1,1,1,1,3,4,0,1,1,0,0,0,1,1,1,1,2,0,1
1999,107,Algeria,12,Africa,Northern Africa,0,0,0,0,0,3,6,0,1,1,0,1,1,0,1,1,1,2,0,1
2000,107,Algeria,12,Africa,Northern Africa,4,1,1,1,1,5,7,0,1,2,1,1,0,0,1,2,1,2,0,1
2001,107,Algeria,12,Africa,Northern Africa,4,2,1,1,0,5,7,0,1,2,1,1,1,0,1,1,1,2,0,1
2002,107,Algeria,12,Africa,Northern Africa,2,1,1,0,0,4,6,0,1,2,1,1,1,0,1,0,1,2,0,1
2003,107,Algeria,12,Africa,Northern Africa,1,1,0,0,0,1,4,0,1,1,0,0,1,0,1,0,1,2,1,1
2004,107,Algeria,12,Africa,Northern Africa,5,2,1,1,1,1,4,0,1,2,0,0,1,0,0,0,1,1,0,1
2005,107,Algeria,12,Africa,Northern Africa,5,2,1,1,1,3,3,0,1,1,1,0,1,0,0,0,1,2,,0
2006,107,Algeria,12,Africa,Northern Africa,1,1,0,0,0,1,5,0,1,2,0,0,1,0,1,0,1,2,,0
2007,107,Algeria,12,Africa,Northern Africa,4,2,1,1,0,,5,0,1,1,,0,1,,0,2,1,2,0,0
2008,107,Algeria,12,Africa,Northern Africa,5,2,1,1,1,,3,0,1,1,,0,0,,1,0,2,2,,1
2009,107,Algeria,12,Africa,Northern Africa,6,2,2,1,1,,3,0,1,1,,0,1,,0,0,1,2,,1
2010,107,Algeria,12,Africa,Northern Africa,5,2,1,1,1,,3,0,1,1,,0,1,,0,0,2,2,,1
2011,107,Algeria,12,Africa,Northern Africa,4,1,1,1,1,,3,0,1,1,,0,1,,0,0,1,2,,1
1981,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1982,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1983,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1984,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1985,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1986,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1987,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1988,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1989,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1990,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1991,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1992,110,Andorra,20,Europe,Southern Europe,,,,,,,,,-999,-999,,,,,,,,,,-999
1993,110,Andorra,20,Europe,Southern Europe,,,,,,,,,2,2,,,,,2,,,,,1
1994,110,Andorra,20,Europe,Southern Europe,,,,,,,,,2,2,,,,,2,,,,,1
1995,110,Andorra,20,Europe,Southern Europe,,,,,,,,,2,2,,,,,2,,,,,1
1996,110,Andorra,20,Europe,Southern Europe,,,,,,,,,2,2,,,,,2,,,,,1
1997,110,Andorra,20,Europe,Southern Europe,,,,,,,,,2,2,,,,,2,,,,,1
1998,110,Andorra,20,Europe,Southern Europe,,,,,,,,,2,2,,,,,2,,,,,1
1999,110,Andorra,20,Europe,Southern Europe,,,,,,,,,2,2,,,,,2,,,,,1
2000,110,Andorra,20,Europe,Southern Europe,,,,,,,,,2,2,,,,,2,,,,,1
2001,110,Andorra,20,Europe,Southern Europe,8,2,2,2,2,9,13,2,2,2,1,2,2,1,2,1,1,2,1,1
2002,110,Andorra,20,Europe,Southern Europe,,,,,,,,,2,2,,,,,2,,,,,1
2003,110,Andorra,20,Europe,Southern Europe,8,2,2,2,2,8,12,2,2,2,1,1,2,1,2,1,1,2,1,1
2004,110,Andorra,20,Europe,Southern Europe,8,2,2,2,2,9,13,2,2,2,1,2,2,1,2,1,1,2,-999,1
2005,110,Andorra,20,Europe,Southern Europe,8,2,2,2,2,9,13,2,2,2,1,2,2,1,2,1,1,2,,1
2006,110,Andorra,20,Europe,Southern Europe,8,2,2,2,2,9,13,2,2,2,1,2,2,1,2,1,1,2,,1
2007,110,Andorra,20,Europe,Southern Europe,8,2,2,2,2,,12,2,2,2,,2,2,,2,0,2,3,-999,2
2008,110,Andorra,20,Europe,Southern Europe,8,2,2,2,2,,12,2,2,2,,2,2,,2,0,0,3,,2
2009,110,Andorra,20,Europe,Southern Europe,8,2,2,2,2,,12,2,2,2,,2,2,,2,0,2,3,,2
2010,110,Andorra,20,Europe,Southern Europe,8,2,2,2,2,,12,2,2,2,,2,2,,2,0,2,3,,2
2011,110,Andorra,20,Europe,Southern Europe,8,2,2,2,2,,12,2,2,2,,2,2,,2,0,3,3,,2
1981,113,Angola,17,Africa,Middle Africa,5,2,1,0,2,0,2,0,0,1,0,0,0,0,1,0,1,2,-999,0
1982,113,Angola,17,Africa,Middle Africa,2,2,0,0,0,2,2,0,0,1,0,0,0,1,1,0,-999,2,-999,1
1983,113,Angola,17,Africa,Middle Africa,2,2,0,0,0,2,4,0,1,1,0,0,0,1,2,0,-999,2,1,1
1984,113,Angola,17,Africa,Middle Africa,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1985,113,Angola,17,Africa,Middle Africa,5,2,1,0,2,2,3,0,1,1,0,0,0,1,1,0,1,2,-999,1
1986,113,Angola,17,Africa,Middle Africa,4,2,1,0,1,2,2,0,1,0,0,0,0,1,1,0,-999,2,1,0
1987,113,Angola,17,Africa,Middle Africa,3,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2,-999,0
1988,113,Angola,17,Africa,Middle Africa,4,2,1,0,1,0,2,0,1,0,0,0,0,0,1,0,-999,2,-999,1
1989,113,Angola,17,Africa,Middle Africa,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-999,2,-999,1
1990,113,Angola,17,Africa,Middle Africa,3,1,0,1,1,1,2,1,0,0,0,1,0,0,0,0,-999,2,-999,0
1991,113,Angola,17,Africa,Middle Africa,1,0,0,0,1,4,8,1,2,1,0,1,0,1,2,1,-999,2,1,1
1992,113,Angola,17,Africa,Middle Africa,,-77,-77,-77,-77,,,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
1993,113,Angola,17,Africa,Middle Africa,2,1,0,0,1,4,7,1,1,1,0,1,0,1,2,1,2,2,1,0
1994,113,Angola,17,Africa,Middle Africa,2,1,0,1,0,2,3,0,0,1,0,0,0,1,2,0,1,2,1,0
1995,113,Angola,17,Africa,Middle Africa,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
1996,113,Angola,17,Africa,Middle Africa,0,0,0,0,0,2,3,0,0,1,0,0,0,1,2,0,1,2,1,0
1997,113,Angola,17,Africa,Middle Africa,0,0,0,0,0,2,4,0,1,1,0,0,0,1,2,0,1,2,1,0
1998,113,Angola,17,Africa,Middle Africa,1,0,0,1,0,3,3,0,0,0,0,0,0,1,2,1,1,2,1,0
1999,113,Angola,17,Africa,Middle Africa,2,0,0,2,0,2,3,0,1,0,0,0,0,1,2,0,1,2,1,0
2000,113,Angola,17,Africa,Middle Africa,1,0,0,1,0,3,6,1,2,0,0,0,0,1,2,1,1,2,1,0
2001,113,Angola,17,Africa,Middle Africa,1,0,0,1,0,2,3,0,1,0,0,0,0,1,2,0,1,2,1,0
2002,113,Angola,17,Africa,Middle Africa,2,0,0,2,0,2,5,1,2,0,0,0,0,1,2,0,1,2,1,0
2003,113,Angola,17,Africa,Middle Africa,3,1,0,2,0,4,6,1,1,0,0,1,1,1,2,0,1,2,1,0
2004,113,Angola,17,Africa,Middle Africa,3,1,0,2,0,4,6,1,1,0,0,1,1,1,2,0,1,2,1,0
2005,113,Angola,17,Africa,Middle Africa,3,1,1,1,0,4,5,1,1,0,0,1,1,1,1,0,1,2,,0
2006,113,Angola,17,Africa,Middle Africa,4,2,1,1,0,4,6,1,1,0,0,1,1,1,2,0,1,2,,0
2007,113,Angola,17,Africa,Middle Africa,2,1,0,1,0,,5,1,0,0,,1,1,,1,1,1,2,1,0
2008,113,Angola,17,Africa,Middle Africa,3,1,1,1,0,,4,0,0,0,,0,1,,2,1,0,2,,0
2009,113,Angola,17,Africa,Middle Africa,2,1,1,0,0,,3,0,0,0,,1,1,,1,0,1,2,,0
2010,113,Angola,17,Africa,Middle Africa,4,2,1,1,0,,5,1,0,0,,0,1,,2,1,1,2,,0
2011,113,Angola,17,Africa,Middle Africa,4,1,1,1,1,,4,0,0,1,,1,1,,1,0,1,3,,0
1981,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1982,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1983,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1984,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1985,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1986,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1987,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1988,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1989,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1990,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1991,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1992,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1993,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1994,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1995,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1996,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1997,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1998,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
1999,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
2000,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
2001,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,8,12,2,2,2,1,1,1,1,2,2,2,1,2,2
2002,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,,,,,,,,,2,2,,,,,2,,,,,2
2003,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,8,12,2,2,2,1,1,1,1,2,2,2,2,1,2
2004,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,9,13,2,2,2,1,1,2,1,2,2,1,2,3,2
2005,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,9,13,2,2,2,1,1,2,1,2,2,1,2,,2
2006,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,10,14,2,2,2,1,2,2,1,2,2,1,2,,2
2007,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,,13,2,2,2,,1,2,,2,2,1,2,-999,2
2008,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,,11,2,2,2,,1,2,,1,1,1,2,,2
2009,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,,13,2,2,2,,2,2,,2,1,2,2,,2
2010,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,,12,2,2,2,,1,2,,2,1,2,3,,2
2011,116,Antigua and Barbuda,28,Latin America and the Caribbean,Caribbean Sea,7,2,2,2,1,,13,2,2,2,,1,2,,2,2,2,3,,2
1981,119,Argentina,32,Latin America and the Caribbean,South America,1,1,0,0,0,4,7,1,1,2,1,1,0,0,1,1,-999,-999,-999,0
1982,119,Argentina,32,Latin America and the Caribbean,South America,5,2,1,1,1,7,10,2,2,2,1,1,1,1,1,1,1,1,1,1
1983,119,Argentina,32,Latin America and the Caribbean,South America,6,2,1,2,1,9,11,2,2,2,1,2,2,1,0,1,-999,1,-999,1
1984,119,Argentina,32,Latin America and the Caribbean,South America,6,2,1,1,2,7,9,1,2,2,1,1,1,1,1,1,1,1,1,1
1985,119,Argentina,32,Latin America and the Caribbean,South America,7,2,2,2,1,10,12,1,2,2,1,2,2,1,1,2,2,1,2,2
1986,119,Argentina,32,Latin America and the Caribbean,South America,8,2,2,2,2,10,13,2,2,2,1,2,2,1,1,2,2,1,2,2
1987,119,Argentina,32,Latin America and the Caribbean,South America,6,2,1,1,2,8,12,2,2,2,1,1,1,1,2,2,2,2,2,1
1988,119,Argentina,32,Latin America and the Caribbean,South America,6,2,2,1,1,10,13,2,2,2,1,2,2,1,1,2,2,2,2,2
1989,119,Argentina,32,Latin America and the Caribbean,South America,7,2,2,2,1,10,13,2,2,2,1,2,2,1,1,2,2,2,2,2
1990,119,Argentina,32,Latin America and the Caribbean,South America,4,1,1,2,0,10,14,2,2,2,1,2,2,1,2,2,1,2,1,1
1991,119,Argentina,32,Latin America and the Caribbean,South America,6,2,1,2,1,9,13,2,2,2,1,2,2,1,2,1,1,2,1,1
1992,119,Argentina,32,Latin America and the Caribbean,South America,6,1,2,2,1,7,12,2,2,2,1,1,2,0,1,2,1,2,1,1
1993,119,Argentina,32,Latin America and the Caribbean,South America,5,1,1,2,1,7,11,2,2,2,1,1,2,0,0,2,2,2,1,1
1994,119,Argentina,32,Latin America and the Caribbean,South America,5,2,1,2,0,7,11,2,2,2,1,0,2,1,2,1,1,2,-999,1
1995,119,Argentina,32,Latin America and the Caribbean,South America,7,2,1,2,2,9,13,2,2,2,1,2,2,1,2,1,1,2,-999,1
1996,119,Argentina,32,Latin America and the Caribbean,South America,5,2,1,1,1,9,13,2,2,2,1,1,2,1,2,2,1,2,-999,1
1997,119,Argentina,32,Latin America and the Caribbean,South America,5,2,1,1,1,9,13,2,2,2,1,1,2,1,2,2,1,2,-999,1
1998,119,Argentina,32,Latin America and the Caribbean,South America,3,2,0,1,0,9,13,2,2,2,1,1,2,1,2,2,1,2,-999,1
1999,119,Argentina,32,Latin America and the Caribbean,South America,4,2,1,1,0,9,12,1,2,2,1,1,2,1,2,2,1,2,-999,1
2000,119,Argentina,32,Latin America and the Caribbean,South America,3,2,0,1,0,9,13,2,2,2,1,1,2,1,2,2,1,2,-999,1
2001,119,Argentina,32,Latin America and the Caribbean,South America,3,2,0,1,0,9,12,1,2,2,1,1,2,1,2,2,1,3,-999,1
2002,119,Argentina,32,Latin America and the Caribbean,South America,4,2,1,1,0,10,14,2,2,2,1,2,2,1,2,2,1,3,-999,1
2003,119,Argentina,32,Latin America and the Caribbean,South America,5,2,0,2,1,9,13,2,2,2,1,2,2,1,2,1,1,3,-999,1
2004,119,Argentina,32,Latin America and the Caribbean,South America,4,2,0,2,0,9,13,2,2,2,1,2,2,1,2,1,2,3,3,1
2005,119,Argentina,32,Latin America and the Caribbean,South America,6,2,1,2,1,9,13,2,2,2,1,2,2,1,2,1,2,3,,1
2006,119,Argentina,32,Latin America and the Caribbean,South America,5,1,1,2,1,9,13,2,2,2,1,2,2,1,2,1,1,3,,1
2007,119,Argentina,32,Latin America and the Caribbean,South America,6,2,1,2,1,,13,2,2,2,,2,2,,2,1,2,3,2,1
2008,119,Argentina,32,Latin America and the Caribbean,South America,5,2,1,1,1,,11,2,2,2,,1,1,,2,1,1,3,,0
2009,119,Argentina,32,Latin America and the Caribbean,South America,5,2,1,2,0,,12,2,2,2,,1,2,,2,1,2,3,,0
2010,119,Argentina,32,Latin America and the Caribbean,South America,4,2,1,1,0,,12,2,2,2,,1,2,,2,1,2,3,,0
2011,119,Argentina,32,Latin America and the Caribbean,South America,5,2,1,2,0,,12,2,2,2,,1,2,,2,1,2,3,,1
1981,122,Armenia,51,Asia,Western Asia,,,,,,,,,,,,,,,,,,,,
